X1;X2;X3;X4
59.08;68.31;75.07;26.70
60.80;68.34;74.24;6.80
64.15;67.85;89.81;4.59
65.30;60.03;84.47;30.92
54.18;62.44;74.24;3.48
58.99;60.73;80.90;3.30
69.39;65.85;84.50;23.13
46.99;51.74;92.97;10.57
60.87;54.09;74.70;13.41
62.56;70.18;77.10;1.60
69.53;62.21;85.93;45.24
58.73;67.71;83.69;10.77
49.61;62.00;95.38;8.84
56.30;58.25;74.73;0.51
72.71;63.47;70.22;13.14
72.24;71.71;75.35;55.30
60.31;53.97;81.69;8.43
67.48;65.97;72.20;7.10
66.68;67.42;84.93;38.71
54.66;56.68;65.03;21.46
43.45;68.50;60.06;8.99
67.67;65.28;84.32;22.05
60.12;71.75;82.08;5.79
67.65;61.19;66.34;5.75
55.64;61.79;77.92;0.16
72.40;55.80;73.20;7.91
66.65;69.42;59.58;25.30
57.62;61.49;61.93;6.95
58.90;74.09;75.82;3.36
63.22;51.88;64.29;2.73
62.32;54.00;98.26;6.52
54.53;63.45;72.91;43.45
46.03;58.91;78.46;7.06
82.83;64.68;92.46;22.37
80.68;62.50;65.00;0.78
64.14;64.27;75.62;14.76
62.39;56.74;80.89;16.01
53.02;64.64;79.54;13.52
55.99;68.07;90.75;4.61
49.54;69.86;72.92;7.80
58.49;72.47;80.54;9.06
70.71;42.56;84.09;13.37
65.29;57.83;72.95;8.05
66.02;61.56;77.12;19.26
50.05;50.58;91.48;3.36
69.66;65.39;92.79;9.12
61.86;64.21;76.71;3.06
69.08;67.80;86.44;3.33
70.88;66.77;92.49;50.00
66.33;59.96;65.55;15.43
57.56;73.74;75.59;7.43
59.15;59.06;69.68;1.85
62.73;65.62;70.24;8.33
51.33;57.32;76.64;14.49
72.01;69.24;62.40;19.76
72.67;56.78;60.12;12.80
68.77;70.74;74.85;9.28
61.11;62.59;66.97;1.25
55.17;75.42;68.85;2.91
68.91;68.19;73.57;15.33
76.55;54.09;68.15;19.86
73.54;54.81;62.83;36.20
62.42;43.87;88.32;4.14
66.25;74.24;70.84;6.70
73.12;54.31;70.02;21.46
55.24;74.50;61.47;2.00
57.41;74.04;76.84;14.48
64.44;58.85;65.64;0.70
64.21;62.53;77.73;1.18
55.44;60.12;67.29;26.69
71.92;68.04;82.13;0.76
58.13;64.69;84.16;18.27
46.46;59.99;90.10;1.42
57.36;67.14;67.30;6.08
53.92;58.67;67.65;11.01
51.50;62.85;80.80;1.72
72.41;68.04;74.38;9.03
62.31;65.53;86.34;29.36
70.90;58.03;79.12;13.02
58.10;53.47;74.61;18.70
72.93;69.29;79.56;70.54
57.40;75.80;77.52;5.14
53.98;71.83;64.81;7.44
61.84;56.56;73.87;6.01
64.70;66.03;79.27;1.03
72.81;66.13;69.28;2.66
69.01;60.92;66.95;6.56
59.29;66.71;96.70;6.38
43.21;66.99;65.85;2.51
61.74;53.19;79.64;67.91
59.09;65.56;61.07;2.41
69.64;58.21;59.43;12.14
41.05;58.96;83.05;1.39
60.61;55.70;62.04;2.36
82.04;58.83;66.45;20.78
46.12;58.09;75.10;0.65
57.14;70.93;87.64;33.01
62.82;61.81;68.57;1.46
59.84;60.87;93.90;3.62
