X1,X2,X3,X4
60.74,57.35,51.94,35.13
64.27,48.62,44.95,82.90
59.19,172.67,50.87,84.89
39.13,59.90,48.13,87.26
62.51,219.37,55.91,71.32
58.79,54.72,43.07,85.76
35.90,127.33,57.67,41.88
43.83,68.24,46.57,47.27
32.29,45.29,44.56,70.04
54.93,99.21,50.98,78.49
25.68,38.30,52.92,76.07
64.68,169.16,52.21,38.73
27.87,331.58,46.04,34.67
49.45,172.17,33.18,40.35
53.80,116.61,38.94,79.24
72.89,87.91,57.03,71.86
41.29,117.65,43.58,66.84
60.83,27.81,53.05,30.59
68.49,119.04,53.21,73.23
19.52,65.46,39.46,40.79
26.23,87.27,35.10,88.47
24.32,89.56,46.17,39.57
23.18,25.83,39.68,36.57
53.32,46.77,41.06,41.10
59.11,21.09,55.95,42.14
75.08,143.30,42.29,41.14
39.31,105.74,48.85,82.66
26.16,34.44,53.16,78.30
39.63,118.69,38.83,46.64
69.85,22.87,50.91,82.57
71.63,176.92,54.53,34.91
49.59,61.75,50.44,68.25
55.27,31.23,52.52,43.16
20.77,86.93,51.92,86.45
56.86,153.85,50.23,70.67
19.00,69.34,52.11,26.73
21.86,58.92,55.11,79.92
63.20,66.89,42.40,85.60
23.57,154.15,44.45,42.95
40.12,26.32,50.53,39.95
55.24,82.40,46.91,52.78
59.52,76.70,42.26,73.62
51.27,81.34,45.98,37.75
66.63,40.35,48.35,34.90
65.75,242.67,50.82,42.01
53.22,66.78,50.41,34.01
57.23,256.40,34.89,84.37
26.32,45.07,39.95,82.99
59.21,133.60,41.18,92.67
41.27,50.02,57.22,75.06
65.34,46.62,44.54,73.90
61.04,113.28,46.51,49.06
40.96,34.76,46.46,71.42
43.89,80.35,61.78,78.17
53.23,87.31,44.24,88.45
31.91,78.94,53.09,55.91
19.40,62.93,43.34,78.17
74.65,170.32,54.23,43.33
18.46,23.19,46.90,77.67
72.25,156.15,63.24,78.01
75.32,75.35,38.66,36.57
72.33,103.38,58.94,79.50
71.55,30.15,44.43,42.74
61.07,44.49,41.36,50.25
26.30,38.63,46.70,78.00
41.14,70.67,52.09,73.06
24.03,101.43,40.67,45.05
39.03,33.84,56.56,75.91
58.71,273.84,43.09,64.84
66.88,89.94,37.49,71.25
63.76,84.73,55.73,44.07
57.51,154.71,42.02,73.38
24.91,334.45,47.78,46.08
21.66,100.51,49.18,82.49
55.30,95.23,44.19,36.26
49.39,42.69,59.09,45.25
38.16,38.92,47.75,43.04
27.93,84.16,35.73,44.15
38.75,451.66,44.64,73.62
21.05,81.27,46.44,63.92
73.45,74.29,46.04,34.20
72.50,35.24,46.80,75.66
63.77,103.64,48.45,24.41
21.91,121.20,49.80,25.28
34.36,181.37,50.53,83.07
34.87,20.72,30.18,83.92
29.10,39.27,44.18,75.23
40.33,113.25,42.11,37.17
36.69,22.78,46.02,43.43
50.90,217.71,46.58,41.84
39.51,103.75,51.66,76.13
75.03,51.52,49.47,35.54
31.15,112.00,46.89,34.22
48.92,59.66,47.30,32.84
32.53,107.44,55.32,42.20
56.22,228.93,36.86,40.43
30.82,113.22,32.55,32.10
53.22,147.75,41.46,74.64
52.03,191.47,54.16,84.61
56.97,47.28,42.43,72.55
58.21,98.39,37.04,90.91
45.95,25.63,39.93,38.19
32.60,314.87,41.34,40.13
64.27,96.00,46.21,29.57
23.75,41.23,43.13,70.06
29.67,451.74,38.94,36.38
24.65,110.60,38.58,50.57
74.13,87.98,47.11,43.22
50.82,241.58,46.55,47.44
19.39,70.74,54.87,39.31
60.17,24.48,38.83,48.25
73.22,162.64,42.71,45.75
40.98,20.97,39.14,41.91
41.27,105.87,35.85,39.06
47.89,119.61,59.94,45.30
52.83,30.26,41.98,86.60
30.52,26.13,46.89,30.73
37.24,46.61,37.30,33.96
55.45,204.25,56.83,32.30
29.14,40.50,46.66,74.77
52.51,133.99,45.09,71.26
40.07,26.23,45.19,70.43
54.43,182.81,55.23,37.74
26.98,35.95,50.57,41.82
72.43,108.52,50.21,79.81
64.01,38.69,47.26,48.76
22.26,76.18,44.33,28.47
22.29,173.15,44.91,36.84
55.47,31.58,32.98,77.01
49.00,55.46,38.79,45.22
53.15,54.39,40.50,28.31
43.07,119.85,55.35,37.12
59.04,25.26,58.00,87.50
24.30,31.38,51.69,42.31
71.00,58.76,51.47,69.88
34.07,25.50,45.32,48.29
19.57,199.34,54.30,85.21
54.54,57.67,48.48,31.52
39.51,37.58,41.83,48.77
42.99,70.67,47.42,43.11
34.20,209.46,52.83,67.30
18.83,136.76,44.27,51.46
48.33,137.91,65.23,65.08
31.80,49.66,38.84,80.48
25.33,172.84,38.53,86.01
50.87,77.45,38.29,77.01
42.00,67.86,43.57,26.49
37.37,39.46,49.85,33.35
58.65,145.16,44.81,44.20
18.37,34.79,43.56,45.11
39.85,34.34,52.58,34.29
64.95,109.16,40.02,88.43
53.13,30.12,53.95,87.67
30.04,209.39,45.44,72.02
19.17,76.06,50.73,84.70
46.47,77.25,51.37,61.21
38.88,128.61,50.51,78.75
28.92,437.48,43.51,29.60
52.59,150.72,35.93,45.70
66.08,49.87,43.03,28.44
52.30,236.63,41.66,39.08
18.26,76.45,43.39,77.73
56.16,179.13,49.25,34.27
59.43,86.09,48.66,83.19
42.59,32.47,64.48,71.62
56.05,101.73,39.67,47.58
29.85,257.79,38.76,71.54
55.56,20.31,55.18,43.32
55.93,88.23,54.33,71.04
51.50,19.34,60.25,55.06
33.34,24.19,41.60,46.87
53.91,26.96,44.20,85.63
71.95,63.32,58.75,80.26
61.86,88.76,46.21,34.76
46.12,78.26,48.01,86.06
32.35,132.31,45.31,50.78
35.54,101.26,54.01,73.25
35.35,195.28,56.53,46.44
57.82,193.74,42.45,75.02
64.08,296.25,32.75,50.73
30.87,189.05,43.19,44.33
42.97,31.06,46.25,43.49
28.03,315.86,54.22,38.18
27.53,266.23,55.42,44.21
24.51,39.55,49.15,47.56
23.69,95.30,37.91,39.70
17.82,188.68,51.55,72.53
52.99,319.41,41.74,79.44
71.74,43.87,37.99,99.16
55.56,141.00,41.56,78.26
62.17,49.90,34.42,30.69
66.23,148.01,44.15,29.56
41.77,272.70,36.44,31.98
25.81,31.45,44.76,79.48
59.24,111.21,55.24,81.31
72.15,178.14,39.93,39.72
22.43,78.96,46.10,81.94
46.08,51.24,40.06,65.58
59.43,64.03,60.84,45.40
27.52,65.49,45.99,84.76
