i,x,y
1,1.000000,1.000000
2,2.000000,4.000000
3,2.000000,4.000000
4,2.000000,3.000000
5,2.000000,4.000000
6,2.000000,2.000000
7,2.000000,2.000000
8,2.000000,2.000000
9,2.000000,3.000000
10,2.000000,2.000000
11,2.000000,2.000000
12,2.000000,3.000000
13,2.000000,4.000000
14,2.000000,2.000000
15,2.000000,3.000000
16,2.000000,4.000000
17,2.000000,4.000000
18,2.000000,4.000000
19,2.000000,3.000000
20,2.000000,2.000000
21,2.000000,4.000000
22,2.000000,4.000000
23,2.000000,3.000000
24,2.000000,3.000000
25,2.000000,3.000000
26,2.000000,4.000000
27,4.000000,6.000000
28,4.000000,6.000000
29,4.000000,10.000000
30,4.000000,8.000000
31,4.000000,6.000000
32,4.000000,10.000000
33,4.000000,8.000000
34,4.000000,16.000000
35,4.000000,8.000000
36,4.000000,6.000000
37,4.000000,6.000000
38,4.000000,8.000000
39,4.000000,6.000000
40,4.000000,8.000000
41,4.000000,6.000000
42,4.000000,12.000000
43,6.000000,12.000000
44,6.000000,8.000000
45,6.000000,12.000000
46,6.000000,9.000000
47,6.000000,12.000000
48,6.000000,15.000000
49,6.000000,9.000000
50,8.000000,20.000000
51,8.000000,16.000000
52,8.000000,16.000000
53,8.000000,20.000000
54,10.000000,16.000000
55,10.000000,25.000000
56,12.000000,16.000000
57,18.000000,45.000000
58,18.000000,45.000000
59,28.000000,38.000000
60,56.000000,77.000000
