i,x,y
1,0.3551,6.7109
2,0.6637,6.0909
3,0.8216,4.9496
4,0.8328,4.3577
5,1.3558,4.0933
6,1.7870,4.1501
7,2.2993,3.7045
8,2.5524,3.8696
9,3.2541,3.1661
10,3.3253,3.5120
11,3.8765,3.1567
12,4.5570,3.7017
13,4.6781,3.8473
14,5.1761,0.7969
15,5.1939,1.7185
16,5.9104,1.3899
17,6.3262,2.6048
18,6.6292,1.2441
19,6.9230,2.2131
20,7.1133,1.0192
21,7.7769,2.1033
22,8.2205,0.1903
23,8.4612,0.3130
24,8.5659,0.1888
25,9.3187,-0.7852
26,9.5883,0.0257
27,9.5909,-0.5478
28,10.3499,-0.3493
29,10.6482,0.6128
30,10.9613,0.1750
31,11.2537,1.0454
32,11.9878,-0.8033
33,12.0711,-0.8680
34,12.8694,-0.8762
35,13.6936,-1.3153
