Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
1B2,0200,1B2,0000,000,0000,000,0000,0000,004,0100
1B2,0200,1B3,0200,1B2,0200,000,01B2,0000,004,0100
1B3,EE19,1B4,EE19,1CD,0000,000,0019,0000,004,0100,1CD,0000
1B4,AE16,1B5,AE16,1CB,FEC7,000,0016,FEC7,008,1000
1B5,0C00,1B6,0C00,7FF,FEC7,7FF,01B5,FEC7,008,1000,7FF,FEC7
1B6,D6E8,6E8,D6E8,7FE,01B7,7FE,D6E8,FEC7,008,1000,7FE,01B7
6E8,AC01,6E9,AC01,7FF,FEC7,7FE,0001,FEC7,008,1000
6E9,F204,6EE,F204,6E9,F204,7FE,0004,FEC7,008,1000
6EE,4C01,6EF,4C01,7FF,FEC7,7FE,0001,FD8E,009,1001
6EF,4C01,6F0,4C01,7FF,FEC7,7FE,0001,FC55,009,1001
6F0,4C01,6F1,4C01,7FF,FEC7,7FE,0001,FB1C,009,1001
6F1,6E05,6F2,6E05,6F7,00A2,7FE,0005,FA7A,009,1001
6F2,CE01,6F4,CE01,6F2,06F4,7FE,0001,FA7A,009,1001
6F4,EC01,6F5,EC01,7FF,FA7A,7FE,0001,FA7A,009,1001,7FF,FA7A
6F5,0A00,1B7,0A00,7FE,01B7,7FF,06F5,FA7A,009,1001
1B7,0800,1B8,0800,7FF,FA7A,000,01B7,FA7A,009,1001
1B8,0740,1B9,0740,1B8,0740,000,01B8,FA79,009,1001
1B9,4E13,1BA,4E13,1CD,0000,000,0013,FA79,008,1000
1BA,EE12,1BB,EE12,1CD,FA79,000,0012,FA79,008,1000,1CD,FA79
1BB,AE0E,1BC,AE0E,1CA,01F9,000,000E,01F9,000,0000
1BC,0700,1BD,0700,1BC,0700,000,01BC,01FA,000,0000
1BD,0C00,1BE,0C00,7FF,01FA,7FF,01BD,01FA,000,0000,7FF,01FA
1BE,D6E8,6E8,D6E8,7FE,01BF,7FE,D6E8,01FA,000,0000,7FE,01BF
6E8,AC01,6E9,AC01,7FF,01FA,7FE,0001,01FA,000,0000
6E9,F204,6EA,F204,6E9,F204,7FE,06E9,01FA,000,0000
6EA,F003,6EB,F003,6EA,F003,7FE,06EA,01FA,000,0000
6EB,7E0A,6EC,7E0A,6F6,0CFF,7FE,000A,01FA,008,1000
6EC,F006,6ED,F006,6EC,F006,7FE,06EC,01FA,008,1000
6ED,F805,6F3,F805,6ED,F805,7FE,0005,01FA,008,1000
6F3,AE02,6F4,AE02,6F6,0CFF,7FE,0002,0CFF,000,0000
6F4,EC01,6F5,EC01,7FF,0CFF,7FE,0001,0CFF,000,0000,7FF,0CFF
6F5,0A00,1BF,0A00,7FE,01BF,7FF,06F5,0CFF,000,0000
1BF,0800,1C0,0800,7FF,0CFF,000,01BF,0CFF,000,0000
1C0,6E0C,1C1,6E0C,1CD,FA79,000,000C,1286,000,0000
1C1,EE0B,1C2,EE0B,1CD,1286,000,000B,1286,000,0000,1CD,1286
1C2,AE09,1C3,AE09,1CC,05DC,000,0009,05DC,000,0000
1C3,0740,1C4,0740,1C3,0740,000,01C3,05DB,001,0001
1C4,0C00,1C5,0C00,7FF,05DB,7FF,01C4,05DB,001,0001,7FF,05DB
1C5,D6E8,6E8,D6E8,7FE,01C6,7FE,D6E8,05DB,001,0001,7FE,01C6
6E8,AC01,6E9,AC01,7FF,05DB,7FE,0001,05DB,001,0001
6E9,F204,6EA,F204,6E9,F204,7FE,06E9,05DB,001,0001
6EA,F003,6EB,F003,6EA,F003,7FE,06EA,05DB,001,0001
6EB,7E0A,6EC,7E0A,6F6,0CFF,7FE,000A,05DB,008,1000
6EC,F006,6ED,F006,6EC,F006,7FE,06EC,05DB,008,1000
6ED,F805,6F3,F805,6ED,F805,7FE,0005,05DB,008,1000
6F3,AE02,6F4,AE02,6F6,0CFF,7FE,0002,0CFF,000,0000
6F4,EC01,6F5,EC01,7FF,0CFF,7FE,0001,0CFF,000,0000,7FF,0CFF
6F5,0A00,1C6,0A00,7FE,01C6,7FF,06F5,0CFF,000,0000
1C6,0800,1C7,0800,7FF,0CFF,000,01C6,0CFF,000,0000
1C7,6E05,1C8,6E05,1CD,1286,000,0005,FA79,008,1000
1C8,EE04,1C9,EE04,1CD,FA79,000,0004,FA79,008,1000,1CD,FA79
1C9,0100,1CA,0100,1C9,0100,000,01C9,FA79,008,1000
