<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;60;200302;100000;238.55;238.91;236.5;238.4;10811790
SBER;60;200302;110000;238.25;241;238.17;238.4;11321730
SBER;60;200302;120000;238.37;238.5;236.62;237.88;6684250
SBER;60;200302;130000;237.81;237.89;235.97;235.97;4513900
SBER;60;200302;140000;236;236.3;231.27;231.47;8948010
SBER;60;200302;150000;231.4;231.75;218.86;228.72;28977910
SBER;60;200302;160000;228.72;229.3;226.22;229.3;6900690
SBER;60;200302;170000;229.25;231.98;227.69;227.91;10569890
SBER;60;200302;180000;227.78;230.33;226.71;228.17;12960380
SBER;60;200303;100000;233;234.89;232.28;233.65;11964440
SBER;60;200303;110000;233.66;236.2;233.51;234.66;13020400
SBER;60;200303;120000;234.65;235.18;232.8;235.03;4489350
SBER;60;200303;130000;235.03;235.09;233.61;234.14;2352650
SBER;60;200303;140000;234.12;234.9;233.62;234.62;3587630
SBER;60;200303;150000;234.7;239;234.64;235.87;13225460
SBER;60;200303;160000;235.93;237.5;234.66;235.96;5548460
SBER;60;200303;170000;235.9;236.5;233.01;233.89;8418230
SBER;60;200303;180000;233.82;238.38;233.82;236.63;20884480
SBER;60;200304;100000;234.13;234.37;232.62;234;9323230
SBER;60;200304;110000;234;234.91;233.4;234.7;9031470
SBER;60;200304;120000;234.7;236.18;233.63;235.8;6920250
SBER;60;200304;130000;235.81;236;234.86;234.88;3649580
SBER;60;200304;140000;234.93;235.5;234.25;234.9;3501950
SBER;60;200304;150000;234.89;236.7;234.28;236.2;3730090
SBER;60;200304;160000;236.2;236.32;234.5;235.02;5735250
SBER;60;200304;170000;235.02;235.69;234.36;234.75;4549710
SBER;60;200304;180000;234.71;235.6;234.55;235.27;7724020
SBER;60;200305;100000;237.03;238.72;236.51;237.17;7629340
SBER;60;200305;110000;237.21;237.5;235.32;235.78;6619460
SBER;60;200305;120000;235.8;236.05;233.53;234.03;7817250
SBER;60;200305;130000;234.02;234.84;233;233.87;6407410
SBER;60;200305;140000;233.8;235.5;233.07;233.54;5510790
SBER;60;200305;150000;233.49;234.63;232.7;233.36;3376300
SBER;60;200305;160000;233.36;233.49;231;231.87;5408040
SBER;60;200305;170000;231.87;232.66;231.03;231.29;7966060
SBER;60;200305;180000;231.29;232.36;230.64;232.33;6238050
SBER;60;200306;100000;227.99;229.2;225;226.6;10688130
SBER;60;200306;110000;226.6;227;220.8;222.84;20582810
SBER;60;200306;120000;222.84;223.64;220.05;221;9852370
SBER;60;200306;130000;220.99;222.55;220;220.96;9031550
SBER;60;200306;140000;220.96;221.33;216.67;218.13;14371590
SBER;60;200306;150000;218.07;219.56;217.35;219.35;7580110
